"","diff","lwr","upr","p.adj"
"12_6_19-11_22_19",-39.8396942766644,-135.122649476349,55.4432609230203,0.645592926078265
"2_12_20-11_22_19",-42.8692914216381,-142.802897914868,57.0643150715914,0.627202090689149
"2_24_20-11_22_19",-35.6503440663031,-135.583950559533,64.2832624269265,0.746711682644065
"2_12_20-12_6_19",-3.02959714497371,-102.963203638203,96.9040093482558,0.999765559042462
"2_24_20-12_6_19",4.18935021036134,-95.7442562828682,104.122956703591,0.999381914668294
"2_24_20-2_12_20",7.21894735533505,-97.158300461908,111.596195172578,0.997253548950227
